day,x,y,z
181,-5.841621085906535E12,-9.031137735177006E11,1.8460510173151746E7
182,-5.873067662491979E12,-9.079429577977362E11,1.851671738305288E7
183,-5.904514211317581E12,-9.127721377851718E11,1.8572924531528585E7
184,-5.93596073267818E12,-9.176013135257587E11,1.8629131619266342E7
185,-5.967407226863938E12,-9.224304850645208E11,1.8685338646942314E7
186,-5.998853694160447E12,-9.272596524457695E11,1.8741545615221575E7
187,-6.030300134848817E12,-9.320888157131191E11,1.879775252475836E7
188,-6.061746549205774E12,-9.369179749095011E11,1.8853959376196295E7
189,-6.09319293750375E12,-9.417471300771782E11,1.8910166170168616E7
190,-6.124639300010969E12,-9.465762812577585E11,1.8966372907298397E7
191,-6.156085636991534E12,-9.514054284922087E11,1.9022579588198766E7
192,-6.187531948705515E12,-9.562345718208673E11,1.907878621347311E7
193,-6.218978235409023E12,-9.610637112834573E11,1.9134992783715285E7
194,-6.2504244973543E12,-9.658928469190988E11,1.9191199299509805E7
195,-6.281870734789786E12,-9.70721978766321E11,1.924740576143204E7
196,-6.313316947960203E12,-9.755511068630743E11,1.930361217004841E7
197,-6.344763137106624E12,-9.803802312467415E11,1.9359818525916554E7
198,-6.376209302466548E12,-9.85209351954149E11,1.941602482958553E7
199,-6.407655444273969E12,-9.900384690215785E11,1.947223108159597E7
200,-6.439101562759445E12,-9.948675824847767E11,1.9528437282480255E7
201,-6.470547658150166E12,-9.996966923789666E11,1.958464343276269E7
202,-6.501993730670017E12,-1.0045257987388569E12,1.9640849532959655E7
203,-6.533439780539642E12,-1.009354901598653E12,1.9697055583579767E7
204,-6.564885807976509E12,-1.0141840009920656E12,1.975326158512404E7
205,-6.596331813194969E12,-1.0190130969523208E12,1.9809467538086016E7
206,-6.627777796406313E12,-1.0238421895121694E12,1.9865673442951933E7
207,-6.659223757818836E12,-1.0286712787038956E12,1.9921879300200857E7
208,-6.690669697637885E12,-1.0335003645593259E12,1.9978085110304825E7
209,-6.722115616065922E12,-1.0383294471098379E12,2.0034290873728976E7
210,-6.753561513302574E12,-1.0431585263863685E12,2.0090496590931688E7
